epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,217.076,0.80851,0.43883,0.96869,0.99173,0.90412,0.96601,0.79466,0.81509,0.55964,0.9781,0.0091684,0.0091684,0.0091684
44,221.935,0.76535,0.41405,0.95711,0.99493,0.98869,0.99438,0.81048,0.77441,0.39409,0.96419,0.0091486,0.0091486,0.0091486
45,226.822,0.77653,0.41464,0.96401,0.98869,0.98856,0.9942,0.81106,0.80908,0.4108,0.97827,0.0091288,0.0091288,0.0091288
46,231.656,0.78463,0.41733,0.96539,0.99369,0.98956,0.9944,0.81048,0.83168,0.39781,0.97815,0.009109,0.009109,0.009109
47,236.513,0.75819,0.40876,0.95766,0.98805,0.98367,0.99068,0.80691,0.78275,0.39686,0.96674,0.0090892,0.0090892,0.0090892
48,241.573,0.76492,0.41537,0.95942,0.98611,0.98126,0.99234,0.79178,0.84647,0.44786,0.99539,0.0090694,0.0090694,0.0090694
49,246.449,0.77944,0.41809,0.95811,0.98856,0.98116,0.99016,0.7989,0.7946,0.43613,0.97614,0.0090496,0.0090496,0.0090496
50,251.305,0.77284,0.40869,0.95332,0.99358,0.98241,0.99364,0.80095,0.81017,0.40858,0.98884,0.0090298,0.0090298,0.0090298
51,256.145,0.76942,0.40756,0.9583,0.9939,0.96357,0.98629,0.78133,0.91256,0.44439,1.00966,0.00901,0.00901,0.00901
52,260.945,0.77305,0.40685,0.96041,0.99087,0.97362,0.98903,0.78976,0.84799,0.43585,0.98511,0.0089902,0.0089902,0.0089902
53,265.796,0.76008,0.40938,0.94975,0.99104,0.9722,0.98516,0.79566,0.80139,0.43887,0.97706,0.0089704,0.0089704,0.0089704
54,270.884,0.75842,0.40479,0.95191,0.9836,0.97923,0.99298,0.79905,0.80046,0.42109,0.97223,0.0089506,0.0089506,0.0089506
55,275.861,0.75091,0.39192,0.94703,0.96023,0.97487,0.98873,0.79542,0.78628,0.70578,0.98323,0.0089308,0.0089308,0.0089308
56,280.748,0.7748,0.40451,0.96092,0.97704,0.98869,0.99372,0.79436,0.79186,0.42545,0.96736,0.008911,0.008911,0.008911
57,285.594,0.75785,0.40073,0.9541,0.98835,0.95892,0.98376,0.78999,0.84249,0.48019,0.99453,0.0088912,0.0088912,0.0088912
58,290.487,0.75879,0.40056,0.94699,0.98612,0.98153,0.98811,0.77882,0.85699,0.50204,0.98247,0.0088714,0.0088714,0.0088714
59,295.364,0.7783,0.40595,0.9612,0.9756,0.95449,0.97507,0.7692,0.87115,0.63676,1.01996,0.0088516,0.0088516,0.0088516
60,300.449,0.76034,0.39844,0.95024,0.99315,0.98995,0.99463,0.81522,0.77077,0.39093,0.9614,0.0088318,0.0088318,0.0088318
61,305.308,0.77167,0.40364,0.9617,0.99618,0.98357,0.9893,0.78197,0.93638,0.41469,1.013,0.008812,0.008812,0.008812
62,310.167,0.76614,0.39774,0.95821,0.9834,0.98492,0.9894,0.81302,0.77162,0.38911,0.96838,0.0087922,0.0087922,0.0087922
63,315.06,0.73813,0.38819,0.94961,0.99366,0.95854,0.98601,0.81665,0.78701,0.4033,0.96092,0.0087724,0.0087724,0.0087724
64,319.945,0.75667,0.38675,0.94957,0.99188,0.98492,0.99435,0.8338,0.75757,0.36803,0.96216,0.0087526,0.0087526,0.0087526
65,324.818,0.75644,0.38787,0.95154,0.99611,0.98869,0.99464,0.79225,0.83356,0.38102,0.98496,0.0087328,0.0087328,0.0087328
66,329.972,0.75062,0.38986,0.95001,0.98865,0.97487,0.98757,0.8055,0.77736,0.49961,0.96976,0.008713,0.008713,0.008713
67,334.828,0.75897,0.40333,0.95404,0.98336,0.96485,0.97966,0.7807,0.80562,0.44509,0.97084,0.0086932,0.0086932,0.0086932
68,339.699,0.76435,0.40528,0.9506,0.99492,0.9847,0.99398,0.81717,0.81094,0.38228,0.96568,0.0086734,0.0086734,0.0086734
69,344.603,0.7353,0.38925,0.94234,0.98112,0.98744,0.99206,0.75466,0.96793,0.43208,1.03027,0.0086536,0.0086536,0.0086536
70,349.443,0.7597,0.39098,0.95437,0.99236,0.97914,0.98852,0.8079,0.86195,0.40601,1.00366,0.0086338,0.0086338,0.0086338
71,354.272,0.7401,0.38398,0.94484,0.99534,0.97613,0.9898,0.80554,0.79237,0.37016,0.95679,0.008614,0.008614,0.008614
72,359.337,0.75367,0.39095,0.95833,0.98729,0.97554,0.98839,0.80705,0.7915,0.37082,0.95991,0.0085942,0.0085942,0.0085942
73,364.186,0.74894,0.3947,0.94155,0.98935,0.9799,0.99309,0.81791,0.76103,0.37998,0.95952,0.0085744,0.0085744,0.0085744
74,369.011,0.73867,0.38647,0.94173,0.98237,0.9799,0.98826,0.81219,0.72102,0.44239,0.94418,0.0085546,0.0085546,0.0085546
75,373.828,0.75259,0.39112,0.95167,0.9931,0.98367,0.99428,0.81858,0.76363,0.34964,0.95636,0.0085348,0.0085348,0.0085348
76,378.671,0.7424,0.38529,0.94231,0.98733,0.98869,0.99345,0.79285,0.83951,0.37743,0.96699,0.008515,0.008515,0.008515
77,383.518,0.74639,0.39362,0.94245,0.98932,0.98492,0.99367,0.82772,0.72389,0.36116,0.94857,0.0084952,0.0084952,0.0084952
78,388.622,0.73905,0.38614,0.94276,0.99106,0.98869,0.99427,0.83024,0.72058,0.34628,0.94117,0.0084754,0.0084754,0.0084754
79,393.459,0.73814,0.37323,0.94766,0.98958,0.98241,0.99075,0.76701,0.92397,0.40842,0.99752,0.0084556,0.0084556,0.0084556
80,398.278,0.74535,0.38624,0.94532,0.99694,0.98995,0.99472,0.79174,0.83639,0.39027,0.96808,0.0084358,0.0084358,0.0084358
81,403.123,0.74567,0.39678,0.94198,0.99571,0.97739,0.98998,0.8066,0.74307,0.39045,0.95015,0.008416,0.008416,0.008416
82,408.008,0.73108,0.37698,0.94362,0.98502,0.99162,0.99384,0.81184,0.81211,0.40545,0.9757,0.0083962,0.0083962,0.0083962
83,412.843,0.73887,0.37514,0.9412,0.99096,0.98744,0.9944,0.75484,0.96013,0.41741,1.01849,0.0083764,0.0083764,0.0083764
84,417.954,0.73407,0.37845,0.94122,0.99569,0.98492,0.98842,0.77449,0.91997,0.3971,0.9965,0.0083566,0.0083566,0.0083566
85,422.77,0.72551,0.37498,0.93045,0.99494,0.98839,0.99449,0.80892,0.84736,0.375,0.96645,0.0083368,0.0083368,0.0083368
86,427.639,0.75034,0.37595,0.94627,0.99605,0.98367,0.99468,0.83251,0.73589,0.34869,0.93883,0.008317,0.008317,0.008317
87,432.503,0.73656,0.36975,0.9435,0.99243,0.98744,0.9943,0.82019,0.78546,0.3613,0.95705,0.0082972,0.0082972,0.0082972
88,437.388,0.72915,0.36927,0.94176,0.99116,0.98547,0.99445,0.82047,0.73174,0.36158,0.94822,0.0082774,0.0082774,0.0082774
89,442.243,0.74747,0.37416,0.94931,0.99243,0.98801,0.99459,0.82056,0.76435,0.36332,0.96529,0.0082576,0.0082576,0.0082576
90,447.339,0.73545,0.37571,0.94026,0.99402,0.98492,0.99458,0.83184,0.75403,0.34265,0.94995,0.0082378,0.0082378,0.0082378
91,452.196,0.7214,0.3672,0.94564,0.99477,0.98744,0.99342,0.83387,0.72974,0.33697,0.94956,0.008218,0.008218,0.008218
92,456.964,0.72492,0.37423,0.94411,0.99319,0.98744,0.99442,0.82189,0.78886,0.35766,0.96036,0.0081982,0.0081982,0.0081982
93,461.753,0.72766,0.36618,0.94202,0.99387,0.98241,0.99182,0.80823,0.85045,0.43693,0.97489,0.0081784,0.0081784,0.0081784
94,466.604,0.7392,0.37635,0.94639,0.996,0.96985,0.98989,0.7484,1.0808,0.46967,1.07755,0.0081586,0.0081586,0.0081586
95,471.456,0.723,0.36856,0.93955,0.99369,0.98845,0.99433,0.81742,0.82083,0.34909,0.96361,0.0081388,0.0081388,0.0081388
96,476.573,0.72216,0.36061,0.93221,0.98858,0.97897,0.9895,0.81775,0.75179,0.36816,0.95018,0.008119,0.008119,0.008119
97,481.473,0.71603,0.3644,0.93393,0.99415,0.98492,0.99446,0.82747,0.73945,0.35367,0.96051,0.0080992,0.0080992,0.0080992
98,486.257,0.73942,0.37454,0.95233,0.99193,0.98241,0.99365,0.82461,0.786,0.36084,0.96596,0.0080794,0.0080794,0.0080794
99,491.07,0.74099,0.37548,0.94852,0.99118,0.98871,0.99462,0.83398,0.75915,0.34632,0.95041,0.0080596,0.0080596,0.0080596
100,496.022,0.72785,0.37226,0.94043,0.97658,0.91709,0.96903,0.80518,0.71989,0.46579,0.96302,0.0080398,0.0080398,0.0080398
101,500.918,0.71534,0.3574,0.94282,0.99369,0.98959,0.99467,0.83148,0.70899,0.33354,0.9349,0.00802,0.00802,0.00802
102,506.247,0.72089,0.36616,0.93514,0.99127,0.99121,0.99385,0.82118,0.72427,0.338,0.94126,0.0080002,0.0080002,0.0080002
103,511.222,0.72009,0.36404,0.94319,0.99497,0.99356,0.99462,0.83025,0.71354,0.3248,0.93367,0.0079804,0.0079804,0.0079804
104,516.155,0.72746,0.36682,0.94431,0.99493,0.98869,0.99421,0.84013,0.73873,0.34534,0.94863,0.0079606,0.0079606,0.0079606
105,521.012,0.72373,0.36058,0.94181,0.9873,0.97639,0.98708,0.80952,0.75168,0.36586,0.95482,0.0079408,0.0079408,0.0079408
106,525.903,0.72069,0.36187,0.94173,0.98841,0.98744,0.98877,0.8067,0.82618,0.35343,0.98063,0.007921,0.007921,0.007921
107,530.783,0.72624,0.36365,0.93607,0.99365,0.98339,0.99417,0.81873,0.74542,0.36286,0.95101,0.0079012,0.0079012,0.0079012
108,535.718,0.71774,0.36014,0.93674,0.98743,0.98744,0.9943,0.78652,0.84893,0.386,0.97806,0.0078814,0.0078814,0.0078814
109,540.861,0.72205,0.36357,0.94015,0.98987,0.98222,0.99148,0.75876,0.97318,0.41131,1.02811,0.0078616,0.0078616,0.0078616
110,545.691,0.70402,0.35767,0.93415,0.9963,0.98618,0.9944,0.82221,0.81457,0.35588,0.96596,0.0078418,0.0078418,0.0078418
111,550.537,0.72524,0.36192,0.93532,0.99494,0.98801,0.99459,0.79881,0.88438,0.37101,0.99162,0.007822,0.007822,0.007822
112,555.415,0.70857,0.35458,0.93396,0.99621,0.98935,0.99476,0.80186,0.87145,0.35314,0.98144,0.0078022,0.0078022,0.0078022
113,560.262,0.70837,0.35196,0.93594,0.99623,0.99465,0.9944,0.81841,0.7847,0.32877,0.95626,0.0077824,0.0077824,0.0077824
114,565.082,0.70652,0.35653,0.93251,0.99237,0.98995,0.99379,0.79078,0.91634,0.3686,0.99114,0.0077626,0.0077626,0.0077626
115,570.158,0.71584,0.36934,0.93536,0.99229,0.98869,0.99453,0.82793,0.78419,0.3584,0.96752,0.0077428,0.0077428,0.0077428
116,575.004,0.71382,0.3577,0.94128,0.9924,0.98435,0.99311,0.83644,0.68839,0.33144,0.94184,0.007723,0.007723,0.007723
117,579.944,0.7316,0.36335,0.9466,0.9961,0.98995,0.99473,0.82995,0.75083,0.32725,0.94619,0.0077032,0.0077032,0.0077032
118,584.949,0.69915,0.35477,0.92628,0.99291,0.98995,0.99417,0.80893,0.83899,0.34434,0.97683,0.0076834,0.0076834,0.0076834
119,589.905,0.69954,0.35758,0.93295,0.9932,0.98995,0.99476,0.8247,0.76264,0.3801,0.95876,0.0076636,0.0076636,0.0076636
120,594.804,0.70809,0.35411,0.94026,0.99621,0.99032,0.99473,0.83065,0.83284,0.34696,0.98133,0.0076438,0.0076438,0.0076438
121,601.645,0.7068,0.35258,0.93497,0.99859,0.98241,0.9905,0.83117,0.71099,0.3193,0.9348,0.007624,0.007624,0.007624
122,608.687,0.70219,0.35205,0.93207,0.99493,0.98604,0.99135,0.83999,0.7357,0.33811,0.94747,0.0076042,0.0076042,0.0076042
123,615.85,0.6979,0.35435,0.93179,0.9962,0.9874,0.99385,0.8023,0.847,0.34196,0.97848,0.0075844,0.0075844,0.0075844
124,623.122,0.70535,0.35514,0.93616,0.98967,0.98869,0.99137,0.80051,0.89528,0.37503,0.98693,0.0075646,0.0075646,0.0075646
125,630.37,0.70303,0.35165,0.92773,0.98892,0.99372,0.99467,0.82002,0.79298,0.34424,0.96276,0.0075448,0.0075448,0.0075448
126,637.593,0.70012,0.35043,0.93198,0.99239,0.98744,0.99173,0.81096,0.87456,0.36164,0.98153,0.007525,0.007525,0.007525
127,645.108,0.71002,0.35231,0.93257,0.99332,0.99121,0.99478,0.84194,0.74792,0.34132,0.94746,0.0075052,0.0075052,0.0075052
128,652.376,0.69096,0.34092,0.92706,0.99595,0.99246,0.99485,0.83018,0.71379,0.33182,0.93463,0.0074854,0.0074854,0.0074854
129,659.74,0.70352,0.34772,0.93793,0.99473,0.99372,0.99458,0.82635,0.78749,0.33363,0.96005,0.0074656,0.0074656,0.0074656
130,667.08,0.72188,0.35396,0.93547,0.99785,0.98995,0.99486,0.83328,0.76346,0.32412,0.94869,0.0074458,0.0074458,0.0074458
131,674.366,0.71636,0.35646,0.9324,0.9974,0.98869,0.99341,0.83356,0.71759,0.32157,0.93415,0.007426,0.007426,0.007426
132,681.56,0.69661,0.34262,0.92656,0.99621,0.98976,0.99435,0.83307,0.68881,0.31678,0.93243,0.0074062,0.0074062,0.0074062
133,688.832,0.70418,0.34939,0.92936,0.99617,0.99121,0.99485,0.84136,0.7137,0.32131,0.93908,0.0073864,0.0073864,0.0073864
134,695.936,0.69671,0.34145,0.92862,0.99438,0.99121,0.99476,0.85287,0.70316,0.31773,0.9384,0.0073666,0.0073666,0.0073666
135,703.051,0.69195,0.34145,0.9324,0.99747,0.99078,0.99478,0.83525,0.71822,0.3199,0.93108,0.0073468,0.0073468,0.0073468
136,710.325,0.70188,0.34204,0.9258,0.99365,0.99121,0.9948,0.84219,0.71149,0.32331,0.93917,0.007327,0.007327,0.007327
137,717.634,0.70065,0.34235,0.93533,0.99334,0.99246,0.99469,0.83373,0.73425,0.32479,0.94146,0.0073072,0.0073072,0.0073072
138,724.824,0.69823,0.34579,0.9302,0.99618,0.99121,0.9947,0.81534,0.82679,0.34931,0.96478,0.0072874,0.0072874,0.0072874
139,732.293,0.69485,0.34752,0.92995,0.99353,0.98995,0.9944,0.81659,0.79114,0.33792,0.96531,0.0072676,0.0072676,0.0072676
140,739.614,0.71486,0.35057,0.93638,0.99324,0.98492,0.99366,0.82161,0.74271,0.35445,0.95543,0.0072478,0.0072478,0.0072478
141,746.765,0.70793,0.3481,0.93557,0.99617,0.97986,0.99445,0.83163,0.73743,0.33304,0.96196,0.007228,0.007228,0.007228
142,753.883,0.71597,0.35027,0.94295,0.99306,0.99372,0.99417,0.83465,0.77624,0.33445,0.96085,0.0072082,0.0072082,0.0072082
143,760.148,0.69644,0.33968,0.93491,0.99617,0.99121,0.9948,0.82731,0.73194,0.3252,0.94875,0.0071884,0.0071884,0.0071884
144,764.883,0.70146,0.34957,0.93168,0.9936,0.99246,0.99472,0.79671,0.82083,0.34386,0.96769,0.0071686,0.0071686,0.0071686
145,769.89,0.69036,0.34213,0.92514,0.88923,0.9799,0.96417,0.80363,0.72248,0.37266,1.01218,0.0071488,0.0071488,0.0071488
146,774.636,0.68892,0.3378,0.93166,0.97286,0.99081,0.99194,0.83135,0.77747,0.34335,0.95266,0.007129,0.007129,0.007129
147,779.381,0.68755,0.34345,0.9302,0.99621,0.99078,0.99454,0.84725,0.69673,0.30486,0.92803,0.0071092,0.0071092,0.0071092
148,784.105,0.68916,0.34233,0.92419,0.99798,0.98995,0.99485,0.83079,0.79917,0.32888,0.95688,0.0070894,0.0070894,0.0070894
149,788.819,0.685,0.33422,0.92471,0.9973,0.99121,0.99445,0.82577,0.80307,0.32241,0.95863,0.0070696,0.0070696,0.0070696
150,793.534,0.70617,0.34337,0.93533,0.99479,0.98995,0.99474,0.81902,0.83718,0.33794,0.97715,0.0070498,0.0070498,0.0070498
151,798.27,0.69867,0.3415,0.93706,0.99495,0.98963,0.99436,0.81684,0.84037,0.34035,0.9794,0.00703,0.00703,0.00703
152,803.209,0.689,0.34434,0.9382,0.99728,0.98995,0.9939,0.81986,0.75254,0.32585,0.95281,0.0070102,0.0070102,0.0070102
153,807.922,0.68019,0.33456,0.91828,0.99621,0.98988,0.99454,0.83095,0.79339,0.32877,0.95294,0.0069904,0.0069904,0.0069904
154,812.662,0.70089,0.34157,0.93672,0.99739,0.99121,0.99486,0.85625,0.68682,0.30126,0.92466,0.0069706,0.0069706,0.0069706
155,817.407,0.70329,0.34393,0.92551,0.99869,0.98869,0.99478,0.84883,0.73333,0.32553,0.94986,0.0069508,0.0069508,0.0069508
156,822.127,0.69297,0.34447,0.93121,0.99609,0.99246,0.99456,0.8215,0.77565,0.34609,0.95637,0.006931,0.006931,0.006931
157,826.846,0.70068,0.34099,0.93715,0.99117,0.98712,0.99409,0.82213,0.74052,0.33472,0.95491,0.0069112,0.0069112,0.0069112
158,831.75,0.67927,0.3393,0.92659,0.99246,0.99223,0.99474,0.83574,0.74113,0.33221,0.95174,0.0068914,0.0068914,0.0068914
159,836.467,0.68204,0.32929,0.92928,0.99106,0.99246,0.99456,0.81619,0.77353,0.33758,0.95128,0.0068716,0.0068716,0.0068716
160,841.172,0.69576,0.33421,0.9306,0.99446,0.99372,0.99424,0.81868,0.80185,0.32704,0.96244,0.0068518,0.0068518,0.0068518
161,845.877,0.69431,0.3438,0.93444,0.992,0.99121,0.99443,0.83929,0.73242,0.31734,0.94556,0.006832,0.006832,0.006832
162,850.743,0.6808,0.33712,0.92399,0.98875,0.99416,0.99453,0.84048,0.72481,0.31828,0.93935,0.0068122,0.0068122,0.0068122
163,856.472,0.67526,0.33019,0.92276,0.99725,0.99121,0.99486,0.83274,0.75008,0.30602,0.93971,0.0067924,0.0067924,0.0067924
