epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,259.465,0.56677,0.37551,1.25376,0.99491,0.98277,0.99253,0.89566,0.50649,0.34302,2.48904,0.0091684,0.0091684,0.0091684
44,265.555,0.55771,0.37396,1.24222,0.97174,0.96357,0.9913,0.90449,0.49301,0.39087,2.30101,0.0091486,0.0091486,0.0091486
45,271.444,0.55269,0.37065,1.21526,0.99152,0.98995,0.99428,0.91536,0.49111,0.35372,2.20341,0.0091288,0.0091288,0.0091288
46,277.361,0.55362,0.37138,1.21058,0.98992,0.98686,0.99409,0.90751,0.49425,0.34915,1.68855,0.009109,0.009109,0.009109
47,283.298,0.53314,0.36186,1.23105,0.98861,0.96231,0.98355,0.88042,0.52241,0.37393,2.62599,0.0090892,0.0090892,0.0090892
48,289.231,0.54751,0.35901,1.2335,0.97273,0.98586,0.98984,0.88601,0.53273,0.37794,2.51344,0.0090694,0.0090694,0.0090694
49,295.135,0.55568,0.36752,1.22762,0.99609,0.96087,0.98473,0.89637,0.53215,0.38211,2.42207,0.0090496,0.0090496,0.0090496
50,301.102,0.55448,0.37214,1.23292,0.99494,0.98742,0.99365,0.89845,0.47447,0.32839,2.56692,0.0090298,0.0090298,0.0090298
51,307.072,0.55483,0.37255,1.24006,0.97709,0.96434,0.98857,0.89129,0.50959,0.41609,2.43656,0.00901,0.00901,0.00901
52,313.072,0.55421,0.36971,1.21733,0.98408,0.97864,0.99373,0.89846,0.48705,0.37496,2.94226,0.0089902,0.0089902,0.0089902
53,319.06,0.53445,0.3614,1.22029,0.99243,0.98846,0.99448,0.90926,0.49184,0.3473,2.39438,0.0089704,0.0089704,0.0089704
54,325.027,0.54181,0.36488,1.2301,0.9825,0.98367,0.99259,0.90424,0.49231,0.34999,2.75071,0.0089506,0.0089506,0.0089506
55,330.964,0.54945,0.36178,1.24216,0.99688,0.99246,0.99412,0.90439,0.51348,0.3576,1.88803,0.0089308,0.0089308,0.0089308
56,336.863,0.54808,0.36696,1.22296,0.99597,0.98492,0.9943,0.90117,0.5186,0.34878,1.9126,0.008911,0.008911,0.008911
57,342.794,0.54061,0.36003,1.26943,0.98091,0.98618,0.99322,0.90008,0.49589,0.36383,2.06534,0.0088912,0.0088912,0.0088912
58,348.898,0.53196,0.35096,1.23516,0.98402,0.98367,0.9942,0.91292,0.47698,0.34481,2.25585,0.0088714,0.0088714,0.0088714
59,354.994,0.52894,0.34976,1.22261,0.98744,0.98799,0.99456,0.90897,0.50518,0.34559,2.3053,0.0088516,0.0088516,0.0088516
60,361.113,0.5411,0.3533,1.21257,0.98747,0.98993,0.99438,0.90754,0.48584,0.32519,2.33945,0.0088318,0.0088318,0.0088318
61,367.1,0.54052,0.35209,1.23624,0.99185,0.98492,0.9941,0.90995,0.49439,0.33953,2.6941,0.008812,0.008812,0.008812
62,373.015,0.54004,0.36053,1.21986,0.99212,0.98869,0.99465,0.91132,0.47762,0.34163,2.08087,0.0087922,0.0087922,0.0087922
63,379.097,0.53325,0.3504,1.20872,0.99215,0.98492,0.99448,0.92083,0.47017,0.32686,2.37279,0.0087724,0.0087724,0.0087724
64,385.163,0.53333,0.34798,1.22016,0.99119,0.98946,0.99456,0.91024,0.473,0.34081,2.55561,0.0087526,0.0087526,0.0087526
65,391.1,0.53035,0.35246,1.22191,0.9913,0.98869,0.99421,0.92103,0.45461,0.30067,2.70016,0.0087328,0.0087328,0.0087328
66,397.065,0.53625,0.35242,1.24273,0.98614,0.98316,0.99396,0.90116,0.47398,0.31618,2.86733,0.008713,0.008713,0.008713
67,403.013,0.53704,0.35495,1.20979,0.96997,0.98869,0.99159,0.88639,0.55263,0.38008,1.75036,0.0086932,0.0086932,0.0086932
68,408.985,0.53788,0.34873,1.23767,0.98258,0.99182,0.99395,0.90696,0.50091,0.34469,1.95273,0.0086734,0.0086734,0.0086734
69,414.959,0.53637,0.34642,1.2473,0.98481,0.97715,0.98958,0.90681,0.50726,0.37161,1.86011,0.0086536,0.0086536,0.0086536
70,420.909,0.54513,0.3608,1.23717,0.98723,0.99121,0.99416,0.91436,0.47517,0.33189,2.20869,0.0086338,0.0086338,0.0086338
71,426.839,0.52512,0.35366,1.22944,0.98774,0.99121,0.99456,0.92014,0.43443,0.3059,2.72659,0.008614,0.008614,0.008614
72,432.749,0.53222,0.34768,1.24148,0.98743,0.98692,0.99225,0.92234,0.43376,0.29889,2.73621,0.0085942,0.0085942,0.0085942
73,438.684,0.53591,0.35289,1.23668,0.99492,0.98461,0.99433,0.91452,0.46499,0.31348,2.81106,0.0085744,0.0085744,0.0085744
74,444.607,0.54028,0.35548,1.22969,0.98988,0.98263,0.9938,0.91999,0.46703,0.33284,2.80585,0.0085546,0.0085546,0.0085546
75,450.552,0.52913,0.34413,1.21483,0.99245,0.99112,0.9946,0.92078,0.4515,0.31615,2.38679,0.0085348,0.0085348,0.0085348
76,456.533,0.51992,0.33757,1.22067,0.99205,0.99121,0.99467,0.91055,0.47167,0.3354,2.16967,0.008515,0.008515,0.008515
77,462.487,0.52576,0.34929,1.2151,0.9937,0.97362,0.99043,0.90461,0.52867,0.36985,1.85548,0.0084952,0.0084952,0.0084952
78,468.415,0.52334,0.35141,1.21567,0.9987,0.98367,0.99368,0.90775,0.47422,0.3441,1.88125,0.0084754,0.0084754,0.0084754
79,474.344,0.51725,0.33788,1.22691,0.98276,0.97739,0.9906,0.91192,0.48833,0.35731,1.87644,0.0084556,0.0084556,0.0084556
80,480.302,0.51692,0.33863,1.19894,0.99243,0.98836,0.99327,0.91096,0.45053,0.36458,2.08886,0.0084358,0.0084358,0.0084358
81,486.221,0.51955,0.34514,1.19764,0.99363,0.98995,0.99429,0.91801,0.45736,0.31296,2.05681,0.008416,0.008416,0.008416
82,492.141,0.51196,0.33654,1.19591,0.98995,0.99016,0.99306,0.91561,0.47159,0.30765,2.1046,0.0083962,0.0083962,0.0083962
83,498.079,0.51814,0.33695,1.19968,0.99323,0.99121,0.99447,0.9097,0.46697,0.32096,2.17842,0.0083764,0.0083764,0.0083764
84,504.023,0.51353,0.3327,1.21822,0.98979,0.98492,0.99378,0.92871,0.43908,0.31571,2.44624,0.0083566,0.0083566,0.0083566
85,509.99,0.51208,0.32841,1.19537,0.98742,0.98613,0.99161,0.9094,0.48819,0.31544,2.24993,0.0083368,0.0083368,0.0083368
86,515.961,0.50366,0.32321,1.19937,0.98996,0.99105,0.99455,0.92684,0.45209,0.31859,2.27034,0.008317,0.008317,0.008317
87,521.896,0.50984,0.32688,1.22401,0.99466,0.99246,0.99466,0.93033,0.4332,0.26953,2.87416,0.0082972,0.0082972,0.0082972
88,527.833,0.51743,0.33164,1.19286,0.98995,0.98954,0.99442,0.91826,0.47615,0.31632,2.39362,0.0082774,0.0082774,0.0082774
89,533.772,0.51954,0.33324,1.20699,0.99079,0.98869,0.99418,0.91878,0.47792,0.32584,1.96385,0.0082576,0.0082576,0.0082576
90,539.721,0.50929,0.33041,1.18562,0.99118,0.98813,0.99452,0.93118,0.42907,0.28362,2.79333,0.0082378,0.0082378,0.0082378
91,545.701,0.50653,0.32385,1.20394,0.99731,0.98241,0.99434,0.92661,0.46594,0.31248,2.60691,0.008218,0.008218,0.008218
92,551.647,0.50772,0.32779,1.22166,0.99366,0.9843,0.99394,0.91944,0.46383,0.30471,2.40323,0.0081982,0.0081982,0.0081982
93,557.593,0.50898,0.32364,1.22771,0.99333,0.98744,0.99396,0.91886,0.46069,0.30534,2.30403,0.0081784,0.0081784,0.0081784
94,563.547,0.52618,0.33881,1.21891,0.99492,0.98448,0.99378,0.90673,0.50584,0.31205,2.12392,0.0081586,0.0081586,0.0081586
95,569.478,0.50614,0.32538,1.18169,0.99708,0.98744,0.99362,0.91902,0.43452,0.29971,2.8654,0.0081388,0.0081388,0.0081388
96,575.396,0.51402,0.33117,1.20791,0.99464,0.98869,0.99428,0.92514,0.44629,0.31725,2.69005,0.008119,0.008119,0.008119
97,581.341,0.5089,0.33267,1.22401,0.98968,0.98618,0.99367,0.90596,0.47371,0.32705,2.7121,0.0080992,0.0080992,0.0080992
98,587.294,0.5161,0.3305,1.21378,0.98698,0.98744,0.99265,0.91522,0.44042,0.29642,2.52637,0.0080794,0.0080794,0.0080794
